orgId	expName	Description	timeZeroSet	num	nMapped	nPastEnd	nGenic	nUsed	gMed	gMedt0	gMean	cor12	mad12	mad12c	mad12c_t0	opcor	adjcor	gccor	maxFit	Group	expDescLong	mutantLibrary	person	Date_pool_expt_started	SetName	Index	media	temperature	pH	vessel	aerobic	liquid	shaking	condition_1	units_1	concentration_1	condition_2	units_2	concentration_2	condition_3	units_3	concentration_3	condition_4	units_4	concentration_4	growthPlate	growthWells
Putida	set10IT008	L-Glutamic (C)	10/1/18 Putida_ML5_set10	192	2892124	37731	1713053	1710210	130	814	357.934282126413	0.226754906198828	0.251637730387392	0.986579484237678	0.920479660356474	0.205177641064382	-0.0316495310183344	-0.00740277514882142	6.47388141160224	carbon source	L-Glutamic acid monopotassium salt monohydrate carbon source	Putida_ML5_JBEI	Mitchell Thompson	10/1/18	Putida_ML5_set10	IT008	MOPS minimal media_noCarbon	30		tube	Aerobic	Liquid	200 rpm	L-Glutamic acid monopotassium salt monohydrate	mM	10											
Putida	set10IT043	succinate (C)	10/18/18 Putida_ML5_set10	227	3535262	29204	2235981	2229776	308	798	466.675596483884	0.10827775753516	0.191648836564193	0.939144794613147	0.928615366763234	0.0957068523929625	0.0253881561709133	-0.0211668719780982	1.79039553992792	carbon source	Sodium succinate dibasic hexahydrate carbon source	Putida_ML5_JBEI	Mitchell Thompson	10/18/18	Putida_ML5_set10	IT043	MOPS minimal media_noCarbon	30		tube	Aerobic	Liquid	200 rpm	Sodium succinate dibasic hexahydrate	mM	10											
Putida	set10IT044	a-Ketoglutaric (C)	10/18/18 Putida_ML5_set10	228	3082367	25606	1952046	1945918	278	798	407.266220175806	0.207134170426975	0.19642484446965	0.936088236179807	0.928615366763234	0.176477694312892	0.0357746620604485	0.0147858498834917	2.46853400207304	carbon source	a-Ketoglutaric acid disodium salt hydrate carbon source	Putida_ML5_JBEI	Mitchell Thompson	10/18/18	Putida_ML5_set10	IT044	MOPS minimal media_noCarbon	30		tube	Aerobic	Liquid	200 rpm	a-Ketoglutaric acid disodium salt hydrate	mM	10											
Putida	set10IT053	butyrate (C)	10/18/18 Putida_ML5_set10	237	3249315	16448	1953551	1950559	138	798	408.237547090833	0.229648411073675	0.245635668894167	0.967938790767701	0.928615366763234	0.13141867857434	0.0672376429888433	-0.036468730370841	5.65635643930311	carbon source	Sodium butyrate carbon source	Putida_ML5_JBEI	Mitchell Thompson	10/18/18	Putida_ML5_set10	IT053	MOPS minimal media_noCarbon	30		tube	Aerobic	Liquid	200 rpm	Sodium butyrate	mM	10											
Putida	set12IT001	Vanillin (C)	12-Feb-19 Putida_ML5_set12	275	3003328	24289	1900175	1896117	245	1411	396.843239849309	0.245406342533927	0.225546963755856	0.95880088282885	0.935587322942938	0.192081373554469	0.0252388636162794	-0.0423997269132913	4.16535815315575	carbon source	Vanillin carbon source	Putida_ML5_JBEI	Matthew Incha	12-Feb-19	Putida_ML5_set12	IT001	MOPS minimal media_noCarbon	30		96 deep-well microplate; 1.2 mL volume	Aerobic	Liquid	700rpm	Vanillin	mM	10	Dimethyl Sulfoxide	vol%	1								
Putida	set12IT002	1,2-Propanediol (C)	12-Feb-19 Putida_ML5_set12	276	3165470	30837	1998749	1992752	285	1411	417.06822938468	0.196818944684169	0.201451150988562	0.945033540782072	0.935587322942938	0.200251069818683	0.0484370869811707	-0.0310149165168752	1.61134325628618	carbon source	1,2-Propanediol carbon source	Putida_ML5_JBEI	Matthew Incha	12-Feb-19	Putida_ML5_set12	IT002	MOPS minimal media_noCarbon	30		96 deep-well microplate; 1.2 mL volume	Aerobic	Liquid	700rpm	1,2-Propanediol	mM	10	Dimethyl Sulfoxide	vol%	1								
Putida	set12IT004	propionate (C)	12-Feb-19 Putida_ML5_set12	278	2875746	16913	1886909	1882109	229	1411	393.911469233989	0.180280188020253	0.226606062024221	0.97982211806237	0.935587322942938	0.139363473113911	0.00213818136539075	-0.0179651374261592	5.2621396057076	carbon source	Sodium propionate carbon source	Putida_ML5_JBEI	Matthew Incha	12-Feb-19	Putida_ML5_set12	IT004	MOPS minimal media_noCarbon	30		96 deep-well microplate; 1.2 mL volume	Aerobic	Liquid	700rpm	Sodium propionate	mM	10	Dimethyl Sulfoxide	vol%	1								
Putida	set12IT007	2-methyl-1-butanol (C)	12-Feb-19 Putida_ML5_set12	281	2926859	12865	1864078	1858678	263.5	1411	389.007534533278	0.22136271970554	0.208634303371767	0.971356861545058	0.935587322942938	0.210093698893654	-0.00650745274534671	-0.0429294000586789	2.22655994	carbon source	2-methyl-1-butanol carbon source	Putida_ML5_JBEI	Matthew Incha	12-Feb-19	Putida_ML5_set12	IT007	MOPS minimal media_noCarbon	30		96 deep-well microplate; 1.2 mL volume	Aerobic	Liquid	700rpm	2-methyl-1-butanol	mM	10	Dimethyl Sulfoxide	vol%	1								
Putida	set12IT008	1,5-Pentanediol (C)	12-Feb-19 Putida_ML5_set12	282	2494791	17485	1578965	1574833	214	1411	329.600879028882	0.200959380309377	0.199119723515219	0.986410935252046	0.935587322942938	0.221942629103808	0.0410160968994438	-0.0280131392367739	3.53694491346143	carbon source	1,5-Pentanediol carbon source	Putida_ML5_JBEI	Matthew Incha	12-Feb-19	Putida_ML5_set12	IT008	MOPS minimal media_noCarbon	30		96 deep-well microplate; 1.2 mL volume	Aerobic	Liquid	700rpm	1,5-Pentanediol	mM	10	Dimethyl Sulfoxide	vol%	1								
Putida	set12IT009	1,4-Butanediol (C)	12-Feb-19 Putida_ML5_set12	283	2274799	23248	1348294	1344938	168	1411	281.485558811218	0.244834508584367	0.233589327235852	0.973176211924289	0.935587322942938	0.236842731422848	0.0432978906319543	-0.0491761713958911	7.44652370155271	carbon source	1,4-Butanediol carbon source	Putida_ML5_JBEI	Matthew Incha	12-Feb-19	Putida_ML5_set12	IT009	MOPS minimal media_noCarbon	30		96 deep-well microplate; 1.2 mL volume	Aerobic	Liquid	700rpm	1,4-Butanediol	mM	10	Dimethyl Sulfoxide	vol%	1								
